Speed bucket, Count
0 - 1 mph,0
1 - 2 mph,0
2 - 3 mph,4
3 - 4 mph,7
4 - 5 mph,6
5 - 6 mph,22
6 - 7 mph,39
7 - 8 mph,128
8 - 9 mph,220
9 - 10 mph,289
10 - 11 mph,338
11 - 12 mph,300
12 - 13 mph,215
13 - 14 mph,175
14 - 15 mph,102
15 - 16 mph,57
16 - 17 mph,41
17 - 18 mph,24
18 - 19 mph,18
19 - 20 mph,8
20 - 21 mph,9
21 - 22 mph,9
22 - 23 mph,7
23 - 24 mph,5
24 - 25 mph,1
25 - 26 mph,1
26 - 27 mph,2
27 - 28 mph,0
28 - 29 mph,3
29 - 30 mph,3
30 - 31 mph,0
31 - 32 mph,1
32 - 33 mph,0
33 - 34 mph,2
34 - 35 mph,1
35 - 36 mph,0
36 - 37 mph,0
37 - 38 mph,1
38 - 39 mph,0
39 - 40 mph,0
40 - 41 mph,0
41 - 42 mph,0
42 - 43 mph,0
43 - 44 mph,1
