Speed bucket, Count
0 - 1 mph,0
1 - 2 mph,1
2 - 3 mph,5
3 - 4 mph,4
4 - 5 mph,8
5 - 6 mph,23
6 - 7 mph,63
7 - 8 mph,122
8 - 9 mph,199
9 - 10 mph,273
10 - 11 mph,263
11 - 12 mph,219
12 - 13 mph,176
13 - 14 mph,118
14 - 15 mph,76
15 - 16 mph,40
16 - 17 mph,25
17 - 18 mph,15
18 - 19 mph,10
19 - 20 mph,5
20 - 21 mph,8
21 - 22 mph,5
22 - 23 mph,7
23 - 24 mph,2
24 - 25 mph,2
25 - 26 mph,3
26 - 27 mph,0
27 - 28 mph,1
28 - 29 mph,0
29 - 30 mph,0
30 - 31 mph,0
31 - 32 mph,0
32 - 33 mph,0
33 - 34 mph,0
34 - 35 mph,0
35 - 36 mph,1
36 - 37 mph,1
37 - 38 mph,0
38 - 39 mph,0
39 - 40 mph,1
40 - 41 mph,0
41 - 42 mph,0
42 - 43 mph,0
43 - 44 mph,0
44 - 45 mph,0
45 - 46 mph,1
