Speed bucket, Count
0 - 1 mph,0
1 - 2 mph,2
2 - 3 mph,0
3 - 4 mph,8
4 - 5 mph,6
5 - 6 mph,18
6 - 7 mph,49
7 - 8 mph,118
8 - 9 mph,213
9 - 10 mph,310
10 - 11 mph,340
11 - 12 mph,323
12 - 13 mph,247
13 - 14 mph,182
14 - 15 mph,120
15 - 16 mph,79
16 - 17 mph,35
17 - 18 mph,35
18 - 19 mph,23
19 - 20 mph,20
20 - 21 mph,8
21 - 22 mph,5
22 - 23 mph,6
23 - 24 mph,7
24 - 25 mph,4
25 - 26 mph,4
26 - 27 mph,1
27 - 28 mph,3
28 - 29 mph,2
29 - 30 mph,0
30 - 31 mph,1
31 - 32 mph,0
32 - 33 mph,0
33 - 34 mph,0
34 - 35 mph,1
35 - 36 mph,0
36 - 37 mph,0
37 - 38 mph,1
38 - 39 mph,0
39 - 40 mph,0
40 - 41 mph,0
41 - 42 mph,0
42 - 43 mph,0
43 - 44 mph,0
44 - 45 mph,0
45 - 46 mph,0
46 - 47 mph,0
47 - 48 mph,0
48 - 49 mph,0
49 - 50 mph,0
50 - 51 mph,0
51 - 52 mph,0
52 - 53 mph,0
53 - 54 mph,0
54 - 55 mph,1
