Speed bucket, Count
0 - 1 mph,0
1 - 2 mph,1
2 - 3 mph,4
3 - 4 mph,3
4 - 5 mph,8
5 - 6 mph,24
6 - 7 mph,40
7 - 8 mph,120
8 - 9 mph,171
9 - 10 mph,288
10 - 11 mph,342
11 - 12 mph,262
12 - 13 mph,225
13 - 14 mph,167
14 - 15 mph,120
15 - 16 mph,62
16 - 17 mph,53
17 - 18 mph,38
18 - 19 mph,27
19 - 20 mph,9
20 - 21 mph,5
21 - 22 mph,6
22 - 23 mph,11
23 - 24 mph,9
24 - 25 mph,4
25 - 26 mph,8
26 - 27 mph,1
27 - 28 mph,1
28 - 29 mph,4
29 - 30 mph,1
30 - 31 mph,1
31 - 32 mph,0
32 - 33 mph,0
33 - 34 mph,2
34 - 35 mph,0
35 - 36 mph,0
36 - 37 mph,0
37 - 38 mph,0
38 - 39 mph,0
39 - 40 mph,0
40 - 41 mph,0
41 - 42 mph,1
